Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Brunei Darussalam,3.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,4.0,2.0,2.272727272727273,2.272727272727273,2.272727272727273,2.272727272727273,2.272727272727273,2.272727272727273,2.272727272727273,2.272727272727273,2.272727272727273,2.272727272727273
Bulgaria,247.0,244.0,199.0,186.0,177.0,172.0,150.0,148.0,128.0,141.0,109.0,112.0,126.0,79.0,103.0,92.0,83.0,69.0,89.0,76.0,74.0
Burundi,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,500.0,520.0,564.0,461.0,635.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0
Cabo Verde,15.0,21.0,44.0,35.0,40.0,40.0,40.0,40.0,40.0,40.0,54.0,65.0,46.0,62.0,38.0,31.0,33.0,36.0,40.0,40.0,40.0
Cambodia,509.0,511.0,448.0,400.0,393.0,333.0,331.0,331.0,268.0,391.55555555555554,391.55555555555554,391.55555555555554,391.55555555555554,391.55555555555554,391.55555555555554,391.55555555555554,391.55555555555554,391.55555555555554,391.55555555555554,391.55555555555554,391.55555555555554
Cameroon,1002.0,962.3,962.3,962.3,962.3,776.0,1277.0,999.0,835.0,880.0,962.3,962.3,861.0,787.0,1004.0,962.3,962.3,1202.0,962.3,962.3,962.3
Canada,549.0,625.0,664.0,608.0,597.0,614.0,610.0,557.0,609.0,549.0,509.0,525.0,611.0,616.0,665.0,662.0,689.0,764.0,796.0,874.0,634.65
Cayman Islands,3.0,5.0,3.0,1.0,2.0,4.0,8.0,9.0,4.285714285714286,4.285714285714286,5.0,5.0,4.285714285714286,4.285714285714286,3.0,7.0,2.0,3.0,4.285714285714286,4.285714285714286,4.285714285714286
Chile,513.0,685.6842105263158,576.0,590.0,616.0,588.0,630.0,541.0,636.0,434.0,556.0,438.0,419.0,620.0,779.0,825.0,924.0,1115.0,906.0,1322.0,685.6842105263158
China,24393.0,24711.0,20770.0,17973.0,16119.0,14811.0,14667.0,13410.0,12015.0,11286.0,10640.0,10083.0,9200.0,8634.0,7990.0,7525.0,7379.0,7157.0,13264.611111111111,13264.611111111111,13264.611111111111
"China, Hong Kong Special Administrative Region",52.0,45.0,34.0,35.0,18.0,36.0,47.0,35.0,17.0,27.0,62.0,27.0,22.0,28.0,24.0,48.0,24.0,22.0,23.0,30.0,32.8
"China, Macao Special Administrative Region",8.0,4.0,4.0,10.0,6.0,4.0,5.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0
Colombia,23523.0,20210.0,18111.0,17479.0,17198.0,16140.0,15817.0,15459.0,16127.0,16440.0,15422.0,13343.0,12783.0,12402.0,12298.0,11678.0,11678.0,11508.0,13144.0,13097.0,15192.85
Cook Islands,0.6280951,0.6280951,0.6280951,0.6280951,0.6280951,0.6280951,0.6280951,0.6280951,0.6280951,0.6280951,0.6280951,0.6280951,0.6280951,0.6280951,0.6280951,0.6280951,0.6280951,0.6280951,0.6280951,0.6280951,0.6280951
Costa Rica,300.0,280.0,335.0,351.0,369.0,512.0,525.0,527.0,474.0,407.0,411.0,477.0,557.0,578.0,603.0,585.0,563.0,570.0,588.0,656.0,906.0
