Country,2013,2014,2015,2016,2017,2018,2019,2020,2021
Norway,3.799846980165852,4.012454656773979,4.121704507588,4.0615161274080664,3.8604053901530557,3.877806131265706,3.840482226923907,3.8421818401127035,4.03982600658173
Panama,2.7424640903587405,2.619725153251215,2.6789017311532533,2.4408883550609124,2.5354733399171305,2.769865908265022,2.639858935460329,2.6876707362115044,2.724824678808564
Paraguay,2.718885796379535,2.916107250783357,2.8257257271635043,2.633808016889108,2.850655587831532,2.8430179702450746,2.5902680748824407,2.728387668562347,2.4622976940375656
Peru,2.7092151581839996,2.7717189141131042,2.8110158607964597,2.5999905867640294,2.350254345275893,2.6483766025702047,2.5854098959761282,2.3843766287584276,2.5131710922132506
Philippines,2.4146807270734896,2.6992271836420327,2.6589942828125035,2.686586289949681,2.7557815630918663,2.739483484805307,2.611323256506232,2.608941055960202,2.5301232581515505
Poland,3.5923139235427257,3.5956030878881786,3.6337450951513226,3.682310381376769,3.4670104671130817,3.313264796966271,3.749798257240621,3.407922828372711,3.614080604714478
Portugal,3.5290811661782753,3.7043389278067282,3.6726174246149608,3.697958021465183,3.4978540619426166,3.6210299814666107,3.5929529671503753,3.8136334004736874,3.7746878163809567
Romania,3.509062497585057,3.644655320298252,3.594512891847808,3.695737851484159,3.736819612707909,3.682612895693615,3.7048857792781034,3.734305031508846,3.7399878783629523
Saudi Arabia,3.630153900182136,3.947001084346827,3.9601539894071207,4.229026151713129,4.245383894010396,4.07750334452355,4.1150576636218945,4.271606604237452,4.198033457315884
Serbia,3.626009894828451,3.778212002684102,3.4421308562890465,3.487119041105755,3.6474407282662997,3.2398559007250505,3.512113984688597,3.5269440423468854,3.5937250994063006
Singapore,3.9970861545916763,3.9239323008765137,4.176661327353676,3.820904445503063,4.019020096837102,4.071661207851874,3.3571681786285668,3.7243516644268406,3.660518829543072
Slovakia,3.1532258749877538,3.4493273709327896,3.294480798520659,3.2593908076518705,3.191722667863083,3.2434914234891936,3.1091033954873546,3.3501964160250957,3.578998921144717
Slovenia,3.6874546644493504,3.614001219870228,3.2660093130685763,3.6340343178251664,3.730539886719397,3.6533688869524816,3.6615496584266616,3.7039329530414937,3.69796067175112
South Africa,2.5387901806666284,2.4938285802854727,2.434892222405631,2.3878722238291212,2.502682203851476,2.5359631733078816,2.587491850593628,2.5688238609985254,2.498363058597357
Spain,3.0328786967189383,3.498448592677422,3.5839414272523573,3.4913017793063807,3.4903225819744317,3.4136364527936216,3.5246900036194657,3.601077687608605,3.5395483639793706
Sweden,3.890845086517806,3.87854579421739,3.862753950123824,3.8007156135743996,3.7794537177590266,3.7191927392644075,3.7038020549378157,3.725825154819475,3.717977737470132
Switzerland,3.445229804386882,3.7691527291242184,3.2752411660790632,3.540028586225387,3.742641095784548,3.7181009302930437,3.603106542122558,3.6183430617715637,3.941548011181441
Thailand,4.191978568459457,4.311170035505153,4.1323811969336255,3.4808033972194674,3.7809024049024416,3.821557471491094,3.8315543495047706,3.9491857317432553,3.8617555735934688
Tunisia,3.428150772673237,3.5839889076205314,3.7035880625246,3.686687076421175,3.729326911581013,3.694518865637881,3.344982461829247,3.3950768097610053,3.693222778741361
Turkmenistan,3.889283628030387,4.012297303638446,3.9288263349598505,3.9174613846728588,3.9734823516948468,3.970589469604097,4.007198671672886,4.059879030437749,4.00654351034223
Uganda,2.0282893778562623,2.0342543368718977,2.058538067616927,1.9840300209736048,2.0259976957522077,1.9349682861527993,2.0921226818329757,2.1736753042549157,2.150383148432843
Ukraine,3.4662606502254554,3.6610632248944857,3.9082735173760845,4.09379410695521,3.958904551914219,4.136628921702529,4.155717348904578,4.210598299773085,4.010928793742102
United Arab Emirates,3.7149067663644386,3.831235378881192,3.7087032584355755,3.7308522471888814,3.833026640371963,3.950153568521843,4.0427304533947765,4.186259866578023,4.3675406606370135
Uruguay,3.2703548448859574,3.403209447563433,3.4255361943862335,3.335539514396544,3.321099225060739,3.071530999015209,3.1646387558461546,3.3130840940613666,3.3909350515076198
